Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
4/2/2008;20:25:00;2.318;0.080;237.740;9.800;0.000;0.000;0.000
1/5/2009;19:04:00;0.322;0.000;239.010;1.400;0.000;0.000;1.000
12/8/2008;06:49:00;0.142;0.080;240.560;0.800;0.000;0.000;0.000
26/11/2009;06:02:00;0.340;0.120;242.550;1.400;0.000;0.000;1.000
20/12/2007;21:38:00;1.608;0.212;240.740;6.800;0.000;0.000;0.000
28/10/2007;06:39:00;0.278;0.074;239.640;1.200;0.000;0.000;0.000
2/2/2007;09:12:00;1.340;0.068;238.810;5.600;0.000;0.000;17.000
25/12/2007;11:05:00;1.496;0.000;241.800;6.200;0.000;0.000;18.000
18/12/2007;02:47:00;0.332;0.120;249.300;1.400;0.000;0.000;0.000
24/12/2006;12:18:00;0.710;0.342;237.130;3.200;0.000;1.000;0.000
17/5/2008;06:38:00;0.164;0.000;240.310;0.600;0.000;0.000;1.000
19/5/2007;08:59:00;0.784;0.054;235.120;3.400;2.000;0.000;0.000
24/10/2009;18:44:00;3.636;0.264;232.790;15.600;1.000;0.000;18.000
18/7/2008;15:07:00;1.182;0.058;239.390;5.000;0.000;0.000;11.000
7/6/2007;03:43:00;0.248;0.074;237.000;1.000;0.000;2.000;0.000
18/5/2008;06:19:00;0.340;0.242;242.880;1.600;0.000;0.000;1.000
15/2/2010;04:15:00;0.330;0.094;248.740;1.400;0.000;1.000;1.000
25/10/2008;19:52:00;0.200;0.060;236.610;0.800;0.000;0.000;0.000
6/4/2009;05:19:00;0.280;0.000;241.640;1.200;0.000;0.000;0.000
29/4/2009;16:02:00;1.014;0.188;240.560;4.200;0.000;0.000;11.000
17/5/2008;19:13:00;1.686;0.186;235.140;7.200;0.000;0.000;17.000
16/8/2009;11:31:00;0.400;0.358;239.280;2.200;0.000;2.000;1.000
10/3/2007;06:41:00;0.226;0.000;242.230;1.000;0.000;0.000;0.000
12/8/2009;21:35:00;1.402;0.252;242.070;5.800;2.000;0.000;1.000
11/1/2008;03:04:00;0.226;0.000;243.620;1.000;0.000;0.000;0.000
30/11/2007;11:03:00;1.686;0.174;243.000;7.000;0.000;1.000;18.000
29/4/2009;16:46:00;0.468;0.194;243.850;2.000;0.000;2.000;1.000
5/9/2008;20:40:00;2.062;0.150;234.880;9.600;0.000;0.000;0.000
6/10/2009;18:44:00;0.600;0.150;240.890;2.400;0.000;0.000;1.000
